comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,f,UxA,UyA,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
P̄0d1d1P1,cart,48,4608,1.0288223819077418,9216,28032,27456,2401,67105,0.4,-22.34796581078352,21.498502366340755,452.14139635842804,25.47165389225876,19.737442884493838,19.737442884493838,35.037724077615195
P̄1d2d2P2,cart,6,72,8.230579055261915,432,1152,1044,169,2797,0.2,-13.639323582774047,14.156837729589407,261.3013528270304,15.927872725386262,12.166239926685265,12.166239926685265,36.48095410335893
P̄1d2d2P2,cart,6,72,8.230579055261915,432,1152,1044,169,2797,0.4,-22.50846347739238,21.638813416522165,451.2382703298223,25.392263175970044,19.416234784136254,19.416234784136254,34.94749128932565
P̄1d2d2P2,cart,12,288,4.115289527630959,1728,4464,4248,625,11065,0.2,-13.687783731465032,14.189559251753483,260.2053015213765,15.883303041062536,12.20751420915993,12.20751420915993,36.50748179550667
P̄1d2d2P2,cart,12,288,4.115289527630959,1728,4464,4248,625,11065,0.4,-22.55914194674061,21.64248696589246,449.98998059672186,25.35887083244143,19.549784489672398,19.549784489672398,35.00339952514721
P̄1d2d2P2,cart,24,1152,2.0576447638154796,6912,17568,17136,2401,44017,0.2,-13.710377925500715,14.19882015480232,259.6571190800552,15.86346233162593,12.23336392847018,12.23336392847018,36.52026896586001
P̄1d2d2P2,cart,24,1152,2.0576447638154796,6912,17568,17136,2401,44017,0.4,-22.895146026418352,21.818786489506437,456.9155689832508,25.700396547030834,19.990224143912762,19.990224143912762,35.04943596699955
P̄1d2d2P2,cart,48,4608,1.0288223819077418,27648,69696,68832,9409,175585,0.2,-13.724883811347746,14.204367866460387,259.50574014957954,15.859093334983354,12.252794565636972,12.252794565636972,36.52545101459791
P̄1d2d2P2,cart,48,4608,1.0288223819077418,27648,69696,68832,9409,175585,0.4,-22.605112613239566,21.644250866448875,449.5241689086356,25.37204115677004,19.813950351857894,19.813950351857894,35.0858187811623
P̄0d1d1P1(corr),cart,6,72,8.230579055261915,312,480,408,49,1249,0.2,-14.21612511353562,14.168107228894847,262.46067817578813,15.994960030458163,12.111616812390002,12.111616812390002,36.44026180966954
P̄0d1d1P1(corr),cart,6,72,8.230579055261915,312,480,408,49,1249,0.4,-22.805427778666413,21.623724187478835,452.13340649633557,25.378590998776822,19.314885400678044,19.314885400678044,34.87579111254975
P̄0d1d1P1(corr),cart,12,288,4.115289527630959,1200,1824,1680,169,4873,0.2,-13.947906463513956,14.187503337995778,260.87272449945334,15.909182977591758,12.172006909329722,12.172006909329722,36.484570868883814
P̄0d1d1P1(corr),cart,12,288,4.115289527630959,1200,1824,1680,169,4873,0.4,-22.670496526878797,21.631169540319352,450.25850651801085,25.339785796984323,19.443612599916367,19.443612599916367,34.94858194061302
