comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,f,UxA,UyA,UzA,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
P̄0d1d1P1,delaunay,410,1131,3.2713674608453958,3393,23202,18600,373,45568,0.4,-24.04560176085728,23.40771834028555,0.1135890665117064,1104.9209091538696,62.72049218765519,40.200972840151614,40.200972840151614,79.97685288594225
P̄0d1d1P1,delaunay,545,751,3.581597109147861,2253,15408,12378,255,30294,0.2,-15.341170280668411,15.932607777026387,0.0865497953016813,677.7365288257382,41.7456545790367,25.396607762665177,25.396607762665177,82.51808974305926
P̄0d1d1P1,delaunay,545,751,3.581597109147861,2253,15408,12378,255,30294,0.4,-23.77099820009528,23.396550853895967,0.1791809092715499,1102.8484085385992,62.61265867303022,40.15868584939344,40.15868584939344,79.955715272768
P̄0d1d1P1,delaunay,723,458,4.305579014066299,1374,9396,7572,161,18503,0.2,-14.782667557837948,15.809093275617736,0.0556463397129538,678.4754410967693,41.78123453717147,25.34520673765192,25.34520673765192,82.49989295848276
P̄0d1d1P1,delaunay,723,458,4.305579014066299,1374,9396,7572,161,18503,0.4,-23.07237858261005,23.309806356653475,0.1179306707037751,1104.457806869135,62.67010696442697,40.03504016641429,40.03504016641429,79.91184694844618
P̄0d1d1P1,delaunay,999,290,5.188293728151775,870,5976,4776,107,11729,0.2,-14.542634970491834,15.757221898570709,0.086565831583552,679.706626650172,41.87973640223274,25.299006976372,25.299006976372,82.4832303256567
P̄0d1d1P1,delaunay,999,290,5.188293728151775,870,5976,4776,107,11729,0.4,-22.868916888021012,23.30067537965921,0.1808669578565007,1110.5168146869946,63.12147393093735,39.98029261319234,39.98029261319234,79.9629531351554
P̄1d2d2P2,delaunay,242,3649,2.363346271545668,43788,212310,187590,6684,450372,0.2,-16.515200745506313,15.917434826036686,0.0001309655190683,676.8819039316998,41.7112553920953,25.563771275142763,25.563771275142763,82.55847136826138
P̄1d2d2P2,delaunay,242,3649,2.363346271545668,43788,212310,187590,6684,450372,0.4,-25.16692928455644,23.220962593708634,-5.703350542243847e-05,1099.473669390244,62.5242555299303,40.64424411053387,40.64424411053387,80.1003958179538
P̄1d2d2P2,delaunay,295,2305,2.7646493059955524,27660,135270,117642,4362,284934,0.2,-16.49223611352212,15.875659172065458,0.0052208490680043,676.5303287664249,41.68499578716853,25.54257189956001,25.54257189956001,82.55284588050569
P̄1d2d2P2,delaunay,295,2305,2.7646493059955524,27660,135270,117642,4362,284934,0.4,-25.184400788696635,23.21732793089162,0.0039189654974439,1101.689378957757,62.5902859045062,40.54637538843247,40.54637538843247,80.04857851228418
P̄1d2d2P2,delaunay,366,1468,2.947898001395509,17616,86580,74748,2833,181777,0.2,-16.489586727294718,15.968094007210096,-0.007983930745096,676.0928077151193,41.663559405719504,25.5234615204308,25.5234615204308,82.5521955113447
P̄1d2d2P2,delaunay,366,1468,2.947898001395509,17616,86580,74748,2833,181777,0.4,-25.18726102602609,23.286338851385093,-0.0074537460322846,1100.427219368559,62.544739072743006,40.46835223946272,40.46835223946272,80.04098878559074
P̄1d2d2P2,delaunay,450,973,3.191840577835701,11676,57564,49398,1905,120543,0.2,-16.4546322939557,15.944316462770978,0.0015424209971947,677.7795922259625,41.71666129488104,25.4826620344294,25.4826620344294,82.53068006647794
P̄1d2d2P2,delaunay,450,973,3.191840577835701,11676,57564,49398,1905,120543,0.4,-25.19418586266077,23.31029658688689,0.0005995506159905,1104.8781014848294,62.65168542449077,40.38282639420349,40.38282639420349,79.97414019544844
P̄1d2d2P2,delaunay,628,600,3.9703424975122754,7200,35568,30432,1197,74397,0.2,-16.52563708292247,15.90049981957224,0.0116765731323093,677.651385254142,41.71631730654112,25.477590974131317,25.477590974131317,82.53189778879586
P̄1d2d2P2,delaunay,628,600,3.9703424975122754,7200,35568,30432,1197,74397,0.4,-25.241812549432453,23.25623062409252,0.0082764521349887,1104.461185725959,62.65899731264063,40.34320602758849,40.34320602758849,79.97968155663786
P̄1d2d2P2,delaunay,800,398,4.587776913159914,4776,23616,20220,803,49415,0.2,-16.533167315115257,16.000071461499164,-0.0149349019602853,679.4026782814379,41.81388127403577,25.445041967374664,25.445041967374664,82.52147434375613
P̄1d2d2P2,delaunay,800,398,4.587776913159914,4776,23616,20220,803,49415,0.4,-25.19721916892566,23.29802707086436,-0.0152134481293235,1101.843452547493,62.59248148581506,40.35191135837776,40.35191135837776,80.0152739590903
P̄0d1d1P1(corr),delaunay,226,4468,2.221010645333638,21978,89658,74604,1326,178992,0.2,-16.58476448203616,15.897128397333065,0.0,676.6996579600449,41.686771359206325,25.50592679497498,25.50592679497498,82.54551454948667
P̄0d1d1P1(corr),delaunay,226,4468,2.221010645333638,21978,89658,74604,1326,178992,0.4,-25.26380579104729,23.23841019265751,0.0,1102.8542943185848,62.60245243111089,40.511057619232666,40.511057619232666,79.99661496398654
P̄0d1d1P1(corr),delaunay,271,2923,2.709061658558598,14497,58905,48648,889,117211,0.2,-16.602602704017443,15.904066466930704,0.0,677.3198660921872,41.70636196119366,25.46823299688402,25.46823299688402,82.5349567323231
P̄0d1d1P1(corr),delaunay,271,2923,2.709061658558598,14497,58905,48648,889,117211,0.4,-25.277560554369828,23.250222605216194,0.0,1103.8247155132049,62.616705980385554,40.38556188222687,40.38556188222687,79.97014686711275
P̄0d1d1P1(corr),delaunay,319,1879,2.7767082193788575,9567,38457,30894,609,75597,0.2,-16.607085096542495,15.908434020549228,0.0,677.8049816331695,41.72377474783365,25.440406442133927,25.440406442133927,82.5284323391034
P̄0d1d1P1(corr),delaunay,319,1879,2.7767082193788575,9567,38457,30894,609,75597,0.4,-25.262159249223632,23.239412607983347,0.0,1102.986835867938,62.59461068854896,40.28559573688948,40.28559573688948,79.97993824545617
P̄0d1d1P1(corr),delaunay,410,1131,3.2713674608453953,5749,23202,18600,373,45568,0.2,-16.62263968952031,15.924362238135405,0.0,678.5661977418072,41.75314063513428,25.40692312205672,25.40692312205672,82.51675072065719
P̄0d1d1P1(corr),delaunay,410,1131,3.2713674608453953,5749,23202,18600,373,45568,0.4,-25.31563850359514,23.267259325997493,0.0,1105.4974171774725,62.720492187645135,40.20097284018428,40.20097284018428,79.97685288585646
P̄0d1d1P1(corr),delaunay,545,751,3.581597109147861,3831,15408,12378,255,30294,0.2,-16.62313982397519,15.9213102335347,0.0,678.4057788324699,41.74565457910748,25.396607762697727,25.396607762697727,82.51808974306039
P̄0d1d1P1(corr),delaunay,545,751,3.581597109147861,3831,15408,12378,255,30294,0.4,-25.277891771516714,23.252223684820947,0.0,1103.8010847754272,62.61265867257833,40.15868584910051,40.15868584910051,79.95571527276803
P̄0d1d1P1(corr),delaunay,723,458,4.305579014066299,2338,9396,7572,161,18503,0.2,-16.623381479041527,15.93706593605035,0.0,679.529845530254,41.78123453717027,25.345206737645128,25.345206737645128,82.4998929584889
P̄0d1d1P1(corr),delaunay,723,458,4.305579014066299,2338,9396,7572,161,18503,0.4,-25.298046830628916,23.281225835128946,0.0,1106.004544446815,62.67010696340774,40.035040167089534,40.035040167089534,79.91184694716145
P̄0d1d1P1(corr),delaunay,999,290,5.188293728151775,1504,5976,4776,107,11729,0.2,-16.67208141928834,15.969983156502401,0.0,681.6798863709176,41.87973640223278,25.299006976372024,25.299006976372024,82.48323032565669
P̄0d1d1P1(corr),delaunay,999,290,5.188293728151775,1504,5976,4776,107,11729,0.4,-25.472654956708773,23.352131143279767,0.0,1113.5261298631083,63.12147393093742,39.98029261319235,39.98029261319235,79.9629531351554
P̄1d2d2P2(corr),delaunay,242,3649,2.3633462715456677,56649,212310,187590,6684,463233,0.2,-16.58394043826761,15.899994925382163,0.0,676.8579432793967,41.71125539209635,25.563771275143036,25.563771275143036,82.5584713682613
P̄1d2d2P2(corr),delaunay,242,3649,2.3633462715456677,56649,212310,187590,6684,463233,0.4,-25.208848762625678,23.199796439997776,0.0,1099.4456194930935,62.52425552993132,40.64424411053407,40.64424411053407,80.10039581795377
P̄1d2d2P2(corr),delaunay,295,2305,2.7646493059955524,36432,135270,117642,4362,293706,0.2,-16.578671813215507,15.895038165957152,0.0,676.5021478980451,41.68499578205283,25.54257189560317,25.54257189560317,82.55284588142179
P̄1d2d2P2(corr),delaunay,295,2305,2.7646493059955524,36432,135270,117642,4362,293706,0.4,-25.24762862202255,23.223961482821462,0.0,1101.6761259139912,62.5913479305508,40.54633493634413,40.54633493634413,80.04862866388531
P̄1d2d2P2(corr),delaunay,366,1468,2.947898001395509,23322,86580,74748,2833,187483,0.2,-16.57273462213924,15.888741989510955,0.0,676.0824414900676,41.66579531681211,25.52371088939554,25.52371088939554,82.55230263485137
P̄1d2d2P2(corr),delaunay,366,1468,2.947898001395509,23322,86580,74748,2833,187483,0.4,-25.158804644399684,23.172692569175833,0.0,1096.829556710793,62.40509236614183,40.58881540969797,40.58881540969797,80.09152775738086
P̄1d2d2P2(corr),delaunay,450,973,3.1918405778357015,15573,57564,49398,1905,124440,0.2,-16.604933082336903,15.913385372867435,0.0,677.6990374430886,41.71666129486976,25.48266203442356,25.48266203442356,82.53068006647976
P̄1d2d2P2(corr),delaunay,450,973,3.1918405778357015,15573,57564,49398,1905,124440,0.4,-25.197330913590125,23.20567242870849,0.0,1099.3803043007508,62.47075293656337,40.50973788124117,40.50973788124117,80.04485098712584
P̄1d2d2P2(corr),delaunay,628,600,3.9703424975122754,9678,35568,30432,1197,76875,0.2,-16.595391012666212,15.911081268496009,-1.3439855628360095e-16,677.5626678247395,41.71631730653449,25.477590974128653,25.477590974128653,82.53189778879529
P̄1d2d2P2(corr),delaunay,628,600,3.9703424975122754,9678,35568,30432,1197,76875,0.4,-25.192078981638364,23.201691074911565,-2.9702250425650997e-16,1099.1242999420974,62.465940571315244,40.46311713588094,40.46311713588094,80.03892777036583
P̄1d2d2P2(corr),delaunay,800,398,4.587776913159914,6405,23616,20220,803,51044,0.2,-16.625643600123105,15.93615066774378,-1.3503337409768907e-16,679.2529813031681,41.81388127403582,25.445041967374515,25.445041967374515,82.52147434375613
P̄1d2d2P2(corr),delaunay,800,398,4.587776913159914,6405,23616,20220,803,51044,0.4,-25.242561734103788,23.228867600499193,-2.973419895784596e-16,1101.6452531342456,62.59248148581545,40.351911358377826,40.351911358377826,80.01527395909024
