comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,u,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
P1c1d̄0P̄0,delaunay,80,822,0.07340606706508732,876,5204,2602,822,9504,0.5,0.28509503151100807,0.5831697731046429,1.2440948867369237,28.61506171125677,0.37108148090171716
P2c2d̄1P̄1,delaunay,78,966,0.06643493044853077,4006,14934,9956,2898,31794,0.5,0.28431046224682543,0.5769099605888705,1.1980863773265673,14.10800606149894,0.3751861447439752
P1c1d̄0P̄0,delaunay,80,822,0.07340606706508732,876,5204,2602,822,9504,1.0,0.5612890912139834,1.058601980118032,1.9437817623863536,46.07809828196169,0.3287094490495464
P1c1d̄0P̄0,delaunay,80,822,0.07340606706508732,876,5204,2602,822,9504,1.5,0.8320949721486403,1.511552960600141,2.5416273145313384,61.450427105613116,0.4245027409482517
P1c1d̄0P̄0,delaunay,66,1172,0.06438097352348146,1242,7360,3680,1172,13454,0.5,0.2840575376396216,0.5785201051287815,1.2243212490315651,30.51018586177744,0.37375990365470624
P1c1d̄0P̄0,delaunay,66,1172,0.06438097352348146,1242,7360,3680,1172,13454,1.0,0.5593851460197563,1.0508154408573114,1.9103984417462143,48.63890561749413,0.31664879020717823
P̄0d1d1P1,delaunay,80,822,0.07340606706508732,1644,5204,4788,472,12108,0.5,0.2845831820227799,0.5795042423191615,1.1932106844108379,1.1932106844108379,0.3745835179680961
P2c2d̄1P̄1,delaunay,78,966,0.06643493044853077,4006,14934,9956,2898,31794,1.0,0.5598893657797522,1.0486161878698186,1.8694531575141804,21.454356974427608,0.31069061962017813
P̄0d1d1P1,delaunay,80,822,0.07340606706508732,1644,5204,4788,472,12108,1.0,0.5603775375968972,1.0508486135747235,1.8649061311207475,1.8649061311207475,0.3056004283910082
P1c1d̄0P̄0,delaunay,66,1172,0.06438097352348146,1242,7360,3680,1172,13454,1.5,0.8298477799061645,1.5009026695473968,2.4992732080503135,64.59840003022579,0.4091681525264646
P̄0d1d1P1,delaunay,80,822,0.07340606706508732,1644,5204,4788,472,12108,1.5,0.8330216930113885,1.501071395287761,2.4491182525479833,2.4491182525479833,0.4214764705032483
P1c1d̄0P̄0,delaunay,53,1768,0.05404144434788149,1858,11016,5508,1768,20150,0.5,0.28370803587183224,0.5750075774238038,1.2066551828413281,28.59053691428017,0.3769229980440481
P̄0d1d1P1,delaunay,66,1172,0.06438097352348146,2344,7360,6856,661,17221,0.5,0.2841083012742668,0.5765052060173668,1.188714065895676,1.188714065895676,0.3763441861228666
P1c1d̄0P̄0,delaunay,53,1768,0.05404144434788149,1858,11016,5508,1768,20150,1.0,0.5587722903889193,1.0451089994018259,1.884667825286036,47.00879098358869,0.31497304836586704
P̄0d1d1P1,delaunay,66,1172,0.06438097352348146,2344,7360,6856,661,17221,1.0,0.5595399909222037,1.0465606975179613,1.8571372392792194,1.8571372392792194,0.30637001784923423
P̄0d1d1P1,delaunay,66,1172,0.06438097352348146,2344,7360,6856,661,17221,1.5,0.8319361578141888,1.4955797759173484,2.4391541377254016,2.4391541377254016,0.4212247634438199
P̄1d2d2P2,delaunay,78,966,0.06643493044853077,5796,14934,14250,2073,37053,0.5,0.2843296480826044,0.5771510827430237,1.1934222295181363,1.1934222295181363,0.37571078404080066
P̄0d1d1P1,delaunay,53,1768,0.05404144434788149,3536,11016,10392,979,25923,0.5,0.2837218654162782,0.5745635557923076,1.1846090663918751,1.1846090663918751,0.3775042271868627
P1c1d̄0P̄0,delaunay,53,1768,0.05404144434788149,1858,11016,5508,1768,20150,1.5,0.8284771501302682,1.4928589231903866,2.4635489067269933,64.10090289702072,0.39992195008022347
P2c2d̄1P̄1,delaunay,78,966,0.06643493044853077,4006,14934,9956,2898,31794,1.5,0.831597908107536,1.4988412475764203,2.4538864964668927,32.944340379686054,0.4192424811435816
P̄0d1d1P1,delaunay,53,1768,0.05404144434788149,3536,11016,10392,979,25923,1.0,0.5588241206849281,1.0434584824745272,1.8505754420276441,1.8505754420276441,0.30612571386190224
P1c1d̄0P̄0,delaunay,43,2744,0.043252559718162095,2862,16976,8488,2744,31070,0.5,0.28344556507157603,0.5729624554452465,1.1953661410394665,28.243377761819055,0.37881536838136415
P̄0d1d1P1,delaunay,53,1768,0.05404144434788149,3536,11016,10392,979,25923,1.5,0.8309290672968717,1.4914187016920872,2.431330897117838,2.431330897117838,0.4200903671268617
P1c1d̄0P̄0,delaunay,43,2744,0.043252559718162095,2862,16976,8488,2744,31070,1.0,0.5583359464261076,1.0414807322660962,1.8667416933057217,46.16742347967031,0.31218555533725895
P̄1d2d2P2,delaunay,78,966,0.06643493044853077,5796,14934,14250,2073,37053,1.0,0.5599604440690544,1.0485137758348395,1.8636760165963684,1.8636760165963684,0.30898752329486395
P2c2d̄1P̄1,delaunay,60,1460,0.05558456918560261,6022,22452,14968,4380,47822,0.5,0.28379999429388103,0.5744477180135696,1.1899822579275057,12.583224082113881,0.37692330567088506
P̄0d1d1P1,delaunay,43,2744,0.043252559718162095,5488,16976,16192,1493,40149,0.5,0.28345760433736483,0.5730746396561318,1.1817227930624106,1.1817227930624106,0.3785129754551419
P̄1d2d2P2,delaunay,78,966,0.06643493044853077,5796,14934,14250,2073,37053,1.5,0.8326007381629531,1.4986920865393591,2.4490923072791277,2.4490923072791277,0.42853405875901607
P1c1d̄0P̄0,delaunay,43,2744,0.043252559718162095,2862,16976,8488,2744,31070,1.5,0.8281142904855481,1.487923619219401,2.442084541856273,64.52636298647167,0.3981431224181334
P̄0d1d1P1,delaunay,43,2744,0.043252559718162095,5488,16976,16192,1493,40149,1.0,0.5583619454016402,1.0411765490512037,1.8458829019760263,1.8458829019760263,0.30621303800724853
P1c1d̄0P̄0,delaunay,35,4060,0.03559280409508473,4210,24984,12492,4060,45746,0.5,0.28329727048627695,0.5719599388717124,1.1898692070250625,31.648464558956675,0.37927723948472203
P2c2d̄1P̄1,delaunay,60,1460,0.05558456918560261,6022,22452,14968,4380,47822,1.0,0.558961680294448,1.0442487294551186,1.8576169575013537,18.95823778319389,0.3090807304283595
P̄0d1d1P1,delaunay,43,2744,0.043252559718162095,5488,16976,16192,1493,40149,1.5,0.830251451712667,1.4883396715239336,2.425324869587287,2.425324869587287,0.418908557227181
P1c1d̄0P̄0,delaunay,35,4060,0.03559280409508473,4210,24984,12492,4060,45746,1.0,0.5579895126733463,1.0397481380116018,1.857373241187652,50.496720327821706,0.30914123471186616
P̄1d2d2P2,delaunay,60,1460,0.05558456918560261,8760,22452,21600,3097,55909,0.5,0.2838214009855595,0.574624397925874,1.1874716764766162,1.1874716764766162,0.3772618030048158
P̄0d1d1P1,delaunay,35,4060,0.03559280409508473,8120,24984,24024,2179,59307,0.5,0.2833128975014817,0.5722010899744798,1.1800135032069157,1.1800135032069157,0.37904960298527557
P1c1d̄0P̄0,delaunay,35,4060,0.03559280409508473,4210,24984,12492,4060,45746,1.5,0.8275068371500427,1.4854041317429385,2.428442098423437,70.79916582688952,0.39048817370169703
P̄1d2d2P2,delaunay,60,1460,0.05558456918560261,8760,22452,21600,3097,55909,1.0,0.5590264003567704,1.0442619222863827,1.8545286536069607,1.8545286536069607,0.30822701054604246
P̄0d1d1P1,delaunay,35,4060,0.03559280409508473,8120,24984,24024,2179,59307,1.0,0.5581029406277448,1.0397850355939324,1.8432204518734236,1.8432204518734236,0.30630915676259646
P1c1d̄0P̄0,delaunay,29,6070,0.02890258427140272,6256,37180,18590,6070,68096,0.5,0.2831869805082423,0.5713532840659806,1.1848813413100323,28.987585525836177,0.37959966565591874
P̄0d1d1P1,delaunay,35,4060,0.03559280409508473,8120,24984,24024,2179,59307,1.5,0.8298881802426766,1.4864749786244948,2.422077185792883,2.422077185792883,0.4185807428938057
P1c1d̄0P̄0,delaunay,29,6070,0.02890258427140272,6256,37180,18590,6070,68096,1.0,0.5578228904013047,1.038684467768407,1.8502544393377724,46.34441092256068,0.30849027433126097
P2c2d̄1P̄1,delaunay,60,1460,0.05558456918560261,6022,22452,14968,4380,47822,1.5,0.829635404284395,1.492411902186615,2.435454207726293,34.77153661306602,0.4073367142467872
P̄1d2d2P2,delaunay,60,1460,0.05558456918560261,8760,22452,21600,3097,55909,1.5,0.8312518620800831,1.4928828810850703,2.4371647129177334,2.4371647129177334,0.4248311138054941
P̄0d1d1P1,delaunay,29,6070,0.02890258427140272,12140,37180,36012,3218,88550,0.5,0.28320954857228475,0.5715121758133015,1.1789380261446358,1.1789380261446358,0.37948033790810054
P2c2d̄1P̄1,delaunay,48,2244,0.046415674975319676,9206,34344,22896,6732,73178,0.5,0.2835473101947642,0.5730442089605208,1.1853065125633584,11.407688905599425,0.3779852582242663
P̄1d2d2P2,delaunay,48,2244,0.046415674975319676,13464,34344,33288,4709,85805,0.5,0.2835580826654454,0.5731951018663721,1.1838841865570637,1.1838841865570637,0.37820000064270853
P1c1d̄0P̄0,delaunay,29,6070,0.02890258427140272,6256,37180,18590,6070,68096,1.5,0.8275915871562921,1.483857916928452,2.4185844340501994,66.6742536569067,0.3892412581883185
P̄0d1d1P1,delaunay,29,6070,0.02890258427140272,12140,37180,36012,3218,88550,1.0,0.5579220484460554,1.0388122765269425,1.8415086094269832,1.8415086094269832,0.30651648483306665
P2c2d̄1P̄1,delaunay,48,2244,0.046415674975319676,9206,34344,22896,6732,73178,1.0,0.5585116373395977,1.0417233141641136,1.8507810562634097,17.23512253356311,0.3081008078146342
P̄0d1d1P1,delaunay,29,6070,0.02890258427140272,12140,37180,36012,3218,88550,1.5,0.8296366952912221,1.4852393409745697,2.4199102221524247,2.4199102221524247,0.41829784148396454
P̄1d2d2P2,delaunay,48,2244,0.046415674975319676,13464,34344,33288,4709,85805,1.0,0.5585573641833967,1.041881054604054,1.848993309001822,1.848993309001822,0.30757056601262656
P̄1d2d2P2,delaunay,48,2244,0.046415674975319676,13464,34344,33288,4709,85805,1.5,0.8305645928173849,1.4895212511204672,2.429916568220584,2.429916568220584,0.422327792888637
P2c2d̄1P̄1,delaunay,48,2244,0.046415674975319676,9206,34344,22896,6732,73178,1.5,0.829961270358402,1.4893101206140653,2.432100957655972,34.15826395226481,0.41644260740850353
P̄1d2d2P2,delaunay,39,3344,0.038153075832804306,20064,51012,49704,6965,127745,0.5,0.28337286946061924,0.5723391215091003,1.1813598207907474,1.1813598207907474,0.3788494689745209
P2c2d̄1P̄1,delaunay,39,3344,0.038153075832804306,13662,51012,34008,10032,108714,0.5,0.28335809148678043,0.5721044846808132,1.1821865165341052,9.75702705566581,0.3787695908772045
P2c2d̄1P̄1,delaunay,39,3344,0.038153075832804306,13662,51012,34008,10032,108714,1.0,0.5581774752585607,1.0400254906089157,1.8463061305382764,15.357664240039195,0.3076720053576752
P̄1d2d2P2,delaunay,39,3344,0.038153075832804306,20064,51012,49704,6965,127745,1.0,0.5582157121133313,1.0402975345700776,1.845162998318001,1.845162998318001,0.3070871658275669
P̄1d2d2P2,delaunay,39,3344,0.038153075832804306,20064,51012,49704,6965,127745,1.5,0.8300636696996184,1.4873011087062402,2.4249485970432687,2.4249485970432687,0.42056174027572163
P2c2d̄1P̄1,delaunay,39,3344,0.038153075832804306,13662,51012,34008,10032,108714,1.5,0.8289774391366916,1.4866590070101962,2.4231993923021355,36.34388285216666,0.40878779785913805
P2c2d̄1P̄1,delaunay,31,5122,0.03077165127813141,20846,77874,51916,15366,166002,0.5,0.2832336093572669,0.5714540207286741,1.1801501237620942,9.03146682630699,0.37932271130798256
P̄1d2d2P2,delaunay,31,5122,0.03077165127813141,30732,77874,76266,10585,195457,0.5,0.2832451625972293,0.5716444719766164,1.179661164566109,1.179661164566109,0.37935391778702493
P2c2d̄1P̄1,delaunay,31,5122,0.03077165127813141,20846,77874,51916,15366,166002,1.0,0.5579551278256717,1.038858099655658,1.8433230658746391,13.724048326493085,0.30742013397141527
P̄1d2d2P2,delaunay,31,5122,0.03077165127813141,30732,77874,76266,10585,195457,1.0,0.5579849212753405,1.0391204442895468,1.8426045553774384,1.8426045553774384,0.30692899755739905
P̄1d2d2P2,delaunay,31,5122,0.03077165127813141,30732,77874,76266,10585,195457,1.5,0.8297283293144354,1.4856503490798325,2.421637600424456,2.421637600424456,0.41956161352985605
P̄0d1d1P1(corr),delaunay,80,822,0.07340606706508732,3414,5204,4788,472,13878,0.5,0.28445502226156877,0.5795042423191616,1.1932106844108372,1.1932106844108372,0.37458351796809614
P̄0d1d1P1(corr),delaunay,80,822,0.07340606706508732,3414,5204,4788,472,13878,1.0,0.5601794427808251,1.0508486135747233,1.864906131120748,1.864906131120748,0.30560042839100837
P̄0d1d1P1(corr),delaunay,80,822,0.07340606706508732,3414,5204,4788,472,13878,1.5,0.8327717627413915,1.5010713952877612,2.4491182525479824,2.4491182525479824,0.42147647050324777
